Experiment name,lower_PEO0dot25_1ml_2
Start time (UTC),2025-09-09 10:31:20.010427+00:00
Opening duration (ms),80
Time before opening (ms),0
Time after closing (ms),1000
Ambient temperature (°C),21.18
Relative humidity (%),66.00
SprayTec lift height (mm),326.5

Elapsed time (s),Pressure (bar),Flow rate (L/s)
0.0,1.5,0.0
0.007153034210205078,1.5,0.0
0.023482799530029297,1.5,0.0
0.039396047592163086,1.49,0.07933333333333333
0.05489063262939453,1.49,0.26366666666666666
0.07151103019714355,1.48,1.472
0.08815574645996094,1.47,2.6806666666666668
0.10427403450012207,1.47,3.7093333333333334
0.12057781219482422,1.46,4.577999999999999
0.137176513671875,1.46,5.0953333333333335
0.15194034576416016,1.44,4.923666666666667
0.167283296585083,1.43,4.448666666666666
0.18428492546081543,1.42,3.8576666666666664
0.19875383377075195,1.42,3.3616666666666664
0.2157597541809082,1.41,2.878
0.2320082187652588,1.42,2.4593333333333334
0.24714994430541992,1.42,2.134333333333333
0.26328253746032715,1.41,1.8259999999999998
0.2792017459869385,1.41,1.5606666666666666
0.2957475185394287,1.41,1.333
0.3125345706939697,1.42,1.1393333333333333
0.3279855251312256,1.42,0.9893333333333333
0.3433389663696289,1.42,0.8616666666666667
0.3595459461212158,1.42,0.7386666666666667
0.3761310577392578,1.42,0.6326666666666666
0.3925614356994629,1.41,0.54
0.40869665145874023,1.42,0.4613333333333333
0.42297959327697754,1.42,0.4013333333333333
0.4399247169494629,1.42,0.3433333333333333
0.4565999507904053,1.43,0.297
0.4716603755950928,1.43,0.25766666666666665
0.4883992671966553,1.43,0.221
0.5035409927368164,1.44,0.19266666666666665
0.5197947025299072,1.44,0.16566666666666666
0.5368852615356445,1.44,0.14266666666666666
0.5513710975646973,1.44,0.127
0.5678615570068359,1.45,0.109
0.5838460922241211,1.45,0.09533333333333333
0.6001701354980469,1.45,0.08466666666666667
0.6148035526275635,1.45,0.072
0.6322686672210693,1.46,0.06
0.6482532024383545,1.46,0.05333333333333333
0.6626896858215332,1.47,0.047
0.6788041591644287,1.47,0.03933333333333333
0.6953516006469727,1.47,0.03133333333333333
0.7124886512756348,1.47,0.026333333333333334
0.7276921272277832,1.47,0.02333333333333333
0.7440686225891113,1.47,0.02
0.7598271369934082,1.47,0.016999999999999998
0.7762253284454346,1.48,0.014333333333333333
0.7922029495239258,1.48,0.010333333333333333
0.8074462413787842,1.47,0.009
0.8230853080749512,1.47,0.008666666666666666
0.8397877216339111,1.47,0.006333333333333333
0.855858564376831,1.47,0.004333333333333333
0.871713399887085,1.47,0.003333333333333333
0.8880496025085449,1.48,0.002333333333333333
0.9037010669708252,1.48,0.0003333333333333333
0.9192445278167725,1.48,0.0
0.9352850914001465,1.48,0.0
0.951124906539917,1.48,0.0
0.966792106628418,1.48,0.0
0.9835033416748047,1.49,0.0
0.9985806941986084,1.48,0.0
1.0156135559082031,1.49,0.0
1.0315423011779785,1.48,0.0
1.0467569828033447,1.48,0.0
1.0632193088531494,1.49,0.0
1.0802760124206543,1.49,0.0
1.0957283973693848,1.49,0.0
1.1107733249664307,1.49,0.0
