 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.000,98.000,98.000,98.000,0.972,16.341,0,0.000
2,0.000,98.000,98.000,98.000,0.974,15.952,0,0.000
3,0.000,98.000,98.000,98.000,0.975,15.687,0,0.000
4,0.000,98.000,98.000,98.000,0.975,15.369,0,0.000
5,0.000,98.000,98.000,98.000,0.976,15.051,0,0.000
6,0.000,98.000,98.000,98.000,0.977,14.769,0,0.000
7,0.000,98.000,98.000,98.000,0.979,14.415,0,0.000
8,0.000,98.000,98.000,98.000,0.977,14.097,0,0.000
9,0.000,98.000,98.000,98.000,0.979,13.691,0,0.000
10,0.000,98.000,98.000,98.000,0.979,13.373,0,0.000
11,0.000,98.000,98.000,98.000,0.981,13.143,0,0.000
12,0.000,98.000,98.000,98.000,0.982,12.772,0,0.000
13,0.000,98.000,98.000,98.000,0.984,12.295,0,0.000
14,0.000,98.000,98.000,98.000,0.985,11.783,0,0.000
15,0.000,98.000,98.000,98.000,0.987,11.430,0,0.000
16,0.000,98.000,98.000,98.000,0.987,11.129,0,0.000
17,0.000,98.000,98.000,98.000,0.987,10.811,0,0.000
18,0.000,98.000,98.000,98.000,0.988,10.529,0,0.000
19,0.000,98.000,98.000,98.000,0.989,10.246,0,0.000
20,0.000,98.000,98.000,98.000,0.990,9.910,0,0.000
21,0.000,98.000,98.000,98.000,0.991,9.451,0,0.000
22,0.000,98.000,98.000,98.000,0.992,9.080,0,0.000
23,0.000,98.000,98.000,98.000,0.993,8.780,0,0.000
24,0.000,98.000,98.000,98.000,0.994,8.480,0,0.000
25,0.000,98.000,98.000,98.000,0.995,8.215,0,0.000
26,0.000,98.000,98.000,98.000,0.998,8.020,0,0.000
27,0.000,98.000,98.000,98.000,1.001,7.861,0,0.000
28,0.000,98.000,98.000,98.000,1.005,7.614,0,0.000
29,0.000,98.000,98.000,98.000,1.012,7.508,0,0.000
30,0.000,98.000,98.000,98.000,1.019,7.579,0,0.000
31,0.000,98.000,98.000,98.000,1.027,7.702,0,0.000
32,0.000,98.000,98.000,98.000,1.037,7.861,0,0.000
33,0.000,98.000,98.000,98.000,1.045,7.985,0,0.000
34,0.000,98.000,98.000,98.000,1.056,8.162,0,0.000
35,0.000,98.000,98.000,98.000,1.066,8.338,0,0.000
36,0.000,98.000,98.000,98.000,1.074,8.515,0,0.000
37,0.000,98.000,98.000,98.000,1.094,8.851,0,0.000
38,0.000,98.000,98.000,98.000,1.109,9.151,0,0.000
39,0.000,98.000,98.000,98.000,1.123,9.416,0,0.000
40,0.000,98.000,98.000,98.000,1.130,9.522,0,0.000
41,0.000,98.000,98.000,98.000,1.138,9.698,0,0.000
42,0.000,98.000,98.000,98.000,1.147,9.822,0,0.000
43,0.000,98.000,98.000,98.000,1.162,10.052,0,0.000
44,0.000,98.000,98.000,98.000,1.178,10.281,0,0.000
45,0.000,98.000,98.000,98.000,1.196,10.723,0,0.000
46,0.000,98.000,98.000,98.000,1.203,10.882,0,0.000
47,0.000,98.000,98.000,98.000,1.210,11.147,0,0.000
48,0.000,98.000,98.000,98.000,1.216,11.465,0,0.000
