Experiment name,2.5bar_expconditions
Start time (UTC),2025-02-26 15:55:58.393970+00:00
Opening duration (ms),50
Time before opening (ms),500
Time after closing (ms),1000
Ambient Temperature (Celsius),21.44
Relative Humidity (%),33.66

Elapsed time (s),Pressure (bar),Flow rate (L/s)
-0.5296497344970703,0.0,0.0
-0.5125477313995361,0.0,0.0
-0.4956209659576416,0.0,0.0
-0.4798851013183594,0.0,0.0
-0.46468067169189453,0.0,0.0
-0.44918203353881836,0.0,0.0
-0.4324219226837158,0.0,0.0
-0.41568684577941895,0.0,0.0
-0.4004480838775635,0.0,0.0
-0.3847043514251709,0.0,0.0
-0.36707282066345215,0.0,0.0
-0.35171937942504883,0.0,0.0
-0.33669161796569824,0.0,0.0
-0.32016682624816895,0.0,0.0
-0.3053593635559082,0.0,0.0
-0.2890796661376953,0.0,0.0
-0.27172017097473145,0.0,0.0
-0.2560403347015381,0.0,0.0
-0.23994159698486328,0.0,0.0
-0.22441625595092773,0.0,0.0
-0.20822525024414062,0.0,0.0
-0.19254255294799805,0.0,0.0
-0.17676544189453125,0.0,0.0
-0.1600024700164795,0.0,0.0
-0.1440269947052002,0.0,0.0
-0.12853598594665527,0.0,0.0
-0.11275482177734375,0.0,0.0
-0.09609675407409668,0.0,0.0
-0.08068346977233887,0.0,0.0
-0.06352448463439941,0.0,0.0
-0.04811549186706543,0.0,0.0
-0.03250312805175781,0.0,0.0
-0.01586294174194336,0.0,0.0
0.0,0.0,0.0
0.01572418212890625,0.0,0.0
0.031896114349365234,0.0,0.034333333333333334
0.04750943183898926,0.0,0.207
0.06361246109008789,0.0,1.476
0.0799703598022461,0.0,3.2929999999999997
0.09729242324829102,0.0,4.958
0.11232233047485352,0.0,5.492
0.1281888484954834,0.0,5.243666666666667
0.14453577995300293,0.0,4.645
0.15967965126037598,0.0,4.074666666666666
0.17552947998046875,0.0,3.4936666666666665
0.19207477569580078,0.0,2.988
0.207319974899292,0.0,2.5973333333333333
0.22347116470336914,0.0,2.220666666666667
0.23950886726379395,0.0,1.898
0.25604748725891113,0.0,1.65
0.2713184356689453,0.0,1.4126666666666665
0.28721189498901367,0.0,1.2276666666666667
0.3035149574279785,0.0,1.0516666666666665
0.31986069679260254,0.0,0.9023333333333333
0.335629940032959,0.0,0.7863333333333333
0.35234785079956055,0.0,0.6749999999999999
0.3680243492126465,0.0,0.581
0.38387060165405273,0.0,0.49766666666666665
0.40009427070617676,0.0,0.434
0.4165771007537842,0.0,0.3723333333333333
0.43199682235717773,0.0,0.3243333333333333
0.4466545581817627,0.0,0.2846666666666667
0.4631059169769287,0.0,0.24633333333333332
0.48038721084594727,0.0,0.211
0.49542880058288574,0.0,0.18666666666666665
0.5106489658355713,0.0,0.16233333333333333
0.5276186466217041,0.0,0.14333333333333334
0.5442283153533936,0.0,0.12433333333333332
0.5600552558898926,0.0,0.10666666666666666
0.5757646560668945,0.0,0.094
0.5920460224151611,0.0,0.081
0.6083638668060303,0.0,0.06866666666666667
0.624049186706543,0.0,0.06033333333333333
0.6396393775939941,0.0,0.05266666666666667
0.6552214622497559,0.0,0.04566666666666667
0.6716158390045166,0.0,0.03866666666666667
0.6879281997680664,0.0,0.03133333333333333
0.70448899269104,0.0,0.026666666666666665
0.7199811935424805,0.0,0.023
0.7366130352020264,0.0,0.019666666666666666
0.7522845268249512,0.0,0.015666666666666666
0.7674503326416016,0.0,0.013
0.7847468852996826,0.0,0.011
0.7997784614562988,0.0,0.009666666666666667
0.815462589263916,0.0,0.007
0.8317668437957764,0.0,0.004333333333333333
0.8487226963043213,0.0,0.0016666666666666666
0.8642482757568359,0.0,0.0016666666666666666
0.8804309368133545,0.0,0.0006666666666666666
0.8953506946563721,0.0,0.0
0.9115569591522217,0.0,0.0
0.9281554222106934,0.0,0.0
0.9440410137176514,0.0,0.0
0.9596915245056152,0.0,0.0
0.9757006168365479,0.0,0.0
0.9924361705780029,0.0,0.0
1.008143663406372,0.0,0.0
1.0237460136413574,0.0,0.0
1.0397653579711914,0.0,0.0
1.0569267272949219,0.0,0.0
1.0717074871063232,0.0,0.0
1.0885591506958008,0.0,0.0
