Experiment name,water_1ml_5
Start time (UTC),2025-09-03 09:50:45.183421+00:00
Opening duration (ms),80
Time before opening (ms),0
Time after closing (ms),1000
Ambient temperature (°C),21.15
Relative humidity (%),66.75
SprayTec lift height (mm),346.0

Elapsed time (s),Pressure (bar),Flow rate (L/s)
-0.005448102951049805,1.5,0.0
0.0,1.5,0.0
0.01656031608581543,1.5,0.0
0.03313589096069336,1.5,0.030666666666666665
0.04777717590332031,1.5,0.13266666666666665
0.06358623504638672,1.5,0.833
0.08006691932678223,1.49,2.0843333333333334
0.09758877754211426,1.48,3.163
0.11158227920532227,1.47,3.9916666666666667
0.12789011001586914,1.47,4.747333333333333
0.1431276798248291,1.46,4.941333333333334
0.161773681640625,1.45,4.522666666666667
0.17592692375183105,1.44,4.012
0.1931626796722412,1.43,3.453
0.20928454399108887,1.43,2.9576666666666664
0.22487616539001465,1.43,2.5666666666666664
0.2396080493927002,1.42,2.227333333333333
0.25530076026916504,1.42,1.9329999999999998
0.27217602729797363,1.43,1.628
0.2882711887359619,1.43,1.4163333333333332
0.304065465927124,1.43,1.2116666666666667
0.31904029846191406,1.43,1.0516666666666665
0.336625337600708,1.43,0.887
0.3513662815093994,1.43,0.7703333333333333
0.3672516345977783,1.43,0.6693333333333333
0.38382744789123535,1.43,0.5743333333333334
0.40053772926330566,1.43,0.494
0.4170808792114258,1.44,0.42466666666666664
0.43250179290771484,1.44,0.368
0.44971346855163574,1.43,0.31
0.464066743850708,1.43,0.27
0.480165958404541,1.44,0.235
0.4953603744506836,1.44,0.207
0.513042688369751,1.44,0.17566666666666667
0.5287532806396484,1.45,0.15133333333333332
0.5431032180786133,1.45,0.13566666666666666
0.5602092742919922,1.46,0.11399999999999999
0.5754516124725342,1.46,0.09733333333333333
0.593043327331543,1.46,0.08466666666666667
0.6070222854614258,1.46,0.076
0.6251616477966309,1.46,0.065
0.6399660110473633,1.46,0.05566666666666666
0.6550700664520264,1.47,0.049999999999999996
0.6717443466186523,1.47,0.042333333333333334
0.6881194114685059,1.47,0.033666666666666664
0.7049195766448975,1.47,0.028999999999999998
0.7204639911651611,1.48,0.024333333333333332
0.735938549041748,1.48,0.020999999999999998
0.7525885105133057,1.48,0.016999999999999998
0.7670674324035645,1.48,0.013666666666666666
0.7840926647186279,1.49,0.009
0.8016564846038818,1.49,0.007
0.8160088062286377,1.48,0.005666666666666666
0.8324508666992188,1.48,0.003
0.8493084907531738,1.48,0.002333333333333333
0.8629739284515381,1.48,0.0006666666666666666
0.8813536167144775,1.49,0.0
0.8955705165863037,1.48,0.0
0.9113800525665283,1.49,0.0
0.9296374320983887,1.48,0.0
0.9433166980743408,1.49,0.0
0.9600272178649902,1.49,0.0
0.9763715267181396,1.49,0.0
0.9925823211669922,1.49,0.0
1.0078692436218262,1.49,0.0
1.0239012241363525,1.49,0.0
1.0401432514190674,1.5,0.0
1.0553152561187744,1.5,0.0
1.0719718933105469,1.5,0.0
1.0883135795593262,1.5,0.0
1.1038928031921387,1.5,0.0
