Experiment name,lower_PEO0dot25_1ml_1
Start time (UTC),2025-09-09 10:19:35.117732+00:00
Opening duration (ms),80
Time before opening (ms),0
Time after closing (ms),1000
Ambient temperature (°C),21.09
Relative humidity (%),66.84
SprayTec lift height (mm),326.3

Elapsed time (s),Pressure (bar),Flow rate (L/s)
0.0,1.51,0.0
0.009736776351928711,1.51,0.0
0.027395963668823242,1.51,0.012333333333333333
0.04249405860900879,1.51,0.10133333333333333
0.059444427490234375,1.5,0.48433333333333334
0.07637381553649902,1.49,1.797
0.08981132507324219,1.48,2.726
0.10660839080810547,1.47,3.8233333333333333
0.12355351448059082,1.46,4.654
0.13910627365112305,1.46,5.037
0.15521907806396484,1.45,4.783666666666666
0.17009210586547852,1.44,4.294333333333333
0.1855614185333252,1.43,3.7696666666666667
0.20206165313720703,1.43,3.2316666666666665
0.21917057037353516,1.42,2.7626666666666666
0.2357494831085205,1.42,2.364
0.2504866123199463,1.42,2.0509999999999997
0.26799631118774414,1.42,1.7243333333333333
0.2822113037109375,1.42,1.4973333333333332
0.29918742179870605,1.42,1.2803333333333333
0.31546735763549805,1.42,1.0959999999999999
0.3310532569885254,1.42,0.9516666666666667
0.3466362953186035,1.42,0.8293333333333333
0.3621227741241455,1.42,0.7076666666666667
0.37863802909851074,1.43,0.606
0.3956007957458496,1.42,0.5183333333333333
0.40973448753356934,1.42,0.45899999999999996
0.42662787437438965,1.43,0.389
0.4420816898345947,1.43,0.3393333333333333
0.4587836265563965,1.43,0.29166666666666663
0.47406554222106934,1.43,0.255
0.49027347564697266,1.43,0.22066666666666665
0.5072691440582275,1.44,0.19066666666666665
0.5243892669677734,1.44,0.161
0.5382702350616455,1.44,0.14066666666666666
0.5540492534637451,1.45,0.12233333333333334
0.570803165435791,1.45,0.10566666666666666
0.5865731239318848,1.45,0.09266666666666666
0.6026732921600342,1.45,0.079
0.6194818019866943,1.45,0.06666666666666667
0.6341233253479004,1.45,0.057666666666666665
0.6499028205871582,1.46,0.050333333333333334
0.667395830154419,1.46,0.041999999999999996
0.6812312602996826,1.46,0.03866666666666667
0.6978943347930908,1.47,0.033999999999999996
0.7164032459259033,1.47,0.027666666666666666
0.7326297760009766,1.47,0.025333333333333333
0.7477481365203857,1.47,0.019333333333333334
0.76277756690979,1.47,0.015
0.7784543037414551,1.47,0.012
0.7936804294586182,1.48,0.011333333333333332
0.8099069595336914,1.48,0.011666666666666665
0.8264102935791016,1.48,0.007
0.8418545722961426,1.47,0.0026666666666666666
0.8589563369750977,1.46,0.0006666666666666666
0.8738846778869629,1.47,0.0
0.8906581401824951,1.47,0.0
0.9074008464813232,1.47,0.0
0.9222056865692139,1.48,0.0
0.9379596710205078,1.48,0.0
0.9541523456573486,1.48,0.0
0.9708163738250732,1.47,0.0
0.9857580661773682,1.48,0.0
1.0023150444030762,1.48,0.0
1.0177547931671143,1.49,0.0
1.0355775356292725,1.49,0.0
1.0497517585754395,1.49,0.0
1.0662426948547363,1.49,0.0
1.0819170475006104,1.5,0.0
1.0980210304260254,1.5,0.0
1.1141881942749023,1.5,0.0
